source_path,compatibility_status,proposed_category,proposed_subcategory,proposed_final_path,routing_role,placement_confidence,placement_basis,placement_concern,future_structure_candidate
task-folder/agents/skills/ai/ai-agent-development,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/ai-agent-development,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/ai/ai-wrapper-product,Approved and supported,data-and-ai,machine-learning,task-folder/agents/skills/data-and-ai/machine-learning/ai-wrapper-product,child_skill,high,"Primary outcome is statistical modeling, machine learning training, and predictive analysis.",None,none
task-folder/agents/skills/ai/ai-ml,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/ai-ml,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/ai/ai-native-cli,Ambiguous and requiring manual review,business-and-operations,legal-and-governance,task-folder/agents/skills/business-and-operations/legal-and-governance/ai-native-cli,child_skill,high,"Primary outcome is legal terms review, intellectual property, and contract governance.",None,none
task-folder/agents/skills/ai/ai-seo,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/ai-seo,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/ai/ai-md,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/ai-md,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/ai/ai-studio-image,Supported after conversion,development,backend,task-folder/agents/skills/development/backend/ai-studio-image,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/ai/ai-product,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/ai-product,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/ai/ai-agents-architect,Approved and supported,development,systems,task-folder/agents/skills/development/systems/ai-agents-architect,child_skill,high,"Primary outcome is systems-level programming, low-level concurrency, and protocol engineering.",None,none
task-folder/agents/skills/ai/ai-analyzer,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/ai-analyzer,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/ai/ai-engineer,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/ai-engineer,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/sandbox-sdk,Approved and supported,infrastructure-and-ops,cloud-platforms,task-folder/agents/skills/infrastructure-and-ops/cloud-platforms/sandbox-sdk,child_skill,high,"Primary outcome is cloud platform hosting, serverless configuration, and edge deployment.",None,none
task-folder/agents/skills/using-n8n-mcp-skills,Approved and supported,quality-and-security,debugging,task-folder/agents/skills/quality-and-security/debugging/using-n8n-mcp-skills,child_skill,high,"Primary outcome is systematic error diagnosis, root cause investigation, and debugging.",None,none
task-folder/agents/skills/review-and-simplify-changes,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/review-and-simplify-changes,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/linux/linux-shell-scripting,Ambiguous and requiring manual review,quality-and-security,security,task-folder/agents/skills/quality-and-security/security/linux-shell-scripting,child_skill,high,"Primary outcome is vulnerability assessment, security scanning, and penetration testing.",None,none
task-folder/agents/skills/linux/linux-privilege-escalation,Ambiguous and requiring manual review,infrastructure-and-ops,server-management,task-folder/agents/skills/infrastructure-and-ops/server-management/linux-privilege-escalation,child_skill,high,"Primary outcome is Linux system administration, shell scripting, and server execution.",None,none
task-folder/agents/skills/linux/linux-troubleshooting,Approved and supported,quality-and-security,debugging,task-folder/agents/skills/quality-and-security/debugging/linux-troubleshooting,child_skill,high,"Primary outcome is systematic error diagnosis, root cause investigation, and debugging.",None,none
task-folder/agents/skills/fastapi-router-py,Approved and supported,development,backend,task-folder/agents/skills/development/backend/fastapi-router-py,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/accessibility-audit,Ambiguous and requiring manual review,development,frontend,task-folder/agents/skills/development/frontend/accessibility-audit,child_skill,high,"Primary outcome is frontend client-side engineering, web components, and UI state architecture.",None,none
task-folder/agents/skills/web3-testing,Ambiguous and requiring manual review,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/web3-testing,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/unreal-engine-cpp-pro,Ambiguous and requiring manual review,development,systems,task-folder/agents/skills/development/systems/unreal-engine-cpp-pro,child_skill,high,"Primary outcome is systems-level programming, low-level concurrency, and protocol engineering.",None,none
task-folder/agents/skills/cicd-automation-workflow-automate,Approved and supported,infrastructure-and-ops,ci-cd,task-folder/agents/skills/infrastructure-and-ops/ci-cd/cicd-automation-workflow-automate,child_skill,high,"Primary outcome is CI/CD pipeline automation, build caching, and release automation.",None,none
task-folder/agents/skills/mdpr-skill,Approved and supported,content-and-documentation,presentations,task-folder/agents/skills/content-and-documentation/presentations/mdpr-skill,child_skill,high,"Primary outcome is visual presentation building, slide deck creation, and visual pitch generation.",None,none
task-folder/agents/skills/unslop-file,Supported after conversion,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/unslop-file,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/evolution,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/evolution,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/interface-kit,Approved and supported,design-and-experience,motion-and-graphics,task-folder/agents/skills/design-and-experience/motion-and-graphics/interface-kit,child_skill,high,"Primary outcome is visual motion, 3D rendering, canvas animations, and interactive graphics.",None,none
task-folder/agents/skills/run-deep-swe,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/run-deep-swe,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/fix-review,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/fix-review,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/2slides-ppt-generator,Supported after conversion,content-and-documentation,presentations,task-folder/agents/skills/content-and-documentation/presentations/2slides-ppt-generator,child_skill,high,"Primary outcome is visual presentation building, slide deck creation, and visual pitch generation.",None,none
task-folder/agents/skills/test-fixing,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/test-fixing,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/grill-with-docs,Supported after conversion,development,backend,task-folder/agents/skills/development/backend/grill-with-docs,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/lead-magnets,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/lead-magnets,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/applicationinsights-web-ts,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/applicationinsights-web-ts,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/multi-cloud-architecture,Ambiguous and requiring manual review,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/multi-cloud-architecture,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/technical-tutorials,Ambiguous and requiring manual review,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/technical-tutorials,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/event-staffing-compliance,Ambiguous and requiring manual review,quality-and-security,compliance,task-folder/agents/skills/quality-and-security/compliance/event-staffing-compliance,child_skill,high,"Primary outcome is regulatory compliance, privacy verification, and security standard adherence.",None,none
task-folder/agents/skills/systems-programming-rust-project,Approved and supported,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/systems-programming-rust-project,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/vitest-skill,Ambiguous and requiring manual review,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/vitest-skill,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/plaid-fintech,Ambiguous and requiring manual review,quality-and-security,compliance,task-folder/agents/skills/quality-and-security/compliance/plaid-fintech,child_skill,high,"Primary outcome is regulatory compliance, privacy verification, and security standard adherence.",None,none
task-folder/agents/skills/photopea-embedded-editor,Ambiguous and requiring manual review,data-and-ai,machine-learning,task-folder/agents/skills/data-and-ai/machine-learning/photopea-embedded-editor,child_skill,high,"Primary outcome is statistical modeling, machine learning training, and predictive analysis.",None,none
task-folder/agents/skills/apple-notes-search,Supported after conversion,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/apple-notes-search,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/project-development,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/project-development,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/web-interface-architect,Approved and supported,development,systems,task-folder/agents/skills/development/systems/web-interface-architect,child_skill,high,"Primary outcome is systems-level programming, low-level concurrency, and protocol engineering.",None,none
task-folder/agents/skills/tokenwise,Supported after conversion,development,backend,task-folder/agents/skills/development/backend/tokenwise,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/business-analyst,Approved and supported,data-and-ai,analytics,task-folder/agents/skills/data-and-ai/analytics/business-analyst,child_skill,high,"Primary outcome is event tracking, user behavioral analytics, and metrics instrumentation.",None,none
task-folder/agents/skills/anti-deception,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/anti-deception,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/fixing-accessibility,Approved and supported,quality-and-security,compliance,task-folder/agents/skills/quality-and-security/compliance/fixing-accessibility,child_skill,high,"Primary outcome is regulatory compliance, privacy verification, and security standard adherence.",None,none
task-folder/agents/skills/tool-use-guardian,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/tool-use-guardian,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/tcm-constitution-analyzer,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/tcm-constitution-analyzer,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/implement,Approved and supported,business-and-operations,product-management,task-folder/agents/skills/business-and-operations/product-management/implement,child_skill,high,"Primary outcome is product requirement documentation, user story mapping, and feature roadmaps.",None,none
task-folder/agents/skills/deprecation-and-migration,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/deprecation-and-migration,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/hasdata,Ambiguous and requiring manual review,workflow-and-automation,task-orchestration,task-folder/agents/skills/workflow-and-automation/task-orchestration/hasdata,child_skill,high,Primary outcome is multi-step workflow coordination and process automation.,None,none
task-folder/agents/skills/smart-git-automation,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/smart-git-automation,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/prompts/prompt-engineering-patterns,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/prompt-engineering-patterns,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/prompts/prompt-engineering,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/prompt-engineering,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/prompts/prompt-engineer,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/prompt-engineer,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/prompts/prompt-library,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/prompt-library,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/prompts/prompt-caching,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/prompt-caching,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/office-productivity,Ambiguous and requiring manual review,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/office-productivity,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/enhance-prompt,Approved and supported,design-and-experience,design-systems,task-folder/agents/skills/design-and-experience/design-systems/enhance-prompt,child_skill,high,"Primary outcome is component design systems, tokens, UI kits, and Figma/Tailwind libraries.",None,merge_candidate
task-folder/agents/skills/files/file-uploads,Approved and supported,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/file-uploads,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/files/file-organizer,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/file-organizer,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/files/filesystem-context,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/filesystem-context,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/graphql-architect,Approved and supported,development,systems,task-folder/agents/skills/development/systems/graphql-architect,child_skill,high,"Primary outcome is systems-level programming, low-level concurrency, and protocol engineering.",None,none
task-folder/agents/skills/api/api-analyzer,Approved and supported,development,backend,task-folder/agents/skills/development/backend/api-analyzer,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/api/api-design-principles,Approved and supported,development,backend,task-folder/agents/skills/development/backend/api-design-principles,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/api/api-sdk-generator,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/api-sdk-generator,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/api/api-and-interface-design,Ambiguous and requiring manual review,business-and-operations,legal-and-governance,task-folder/agents/skills/business-and-operations/legal-and-governance/api-and-interface-design,child_skill,high,"Primary outcome is legal terms review, intellectual property, and contract governance.",None,none
task-folder/agents/skills/api/api-documenter,Approved and supported,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/api-documenter,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/api/api-integration,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/api-integration,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/api/api-security-testing,Approved and supported,quality-and-security,security,task-folder/agents/skills/quality-and-security/security/api-security-testing,child_skill,high,"Primary outcome is vulnerability assessment, security scanning, and penetration testing.",None,none
task-folder/agents/skills/api/api-designer,Approved and supported,development,backend,task-folder/agents/skills/development/backend/api-designer,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/api/api-documentation,Approved and supported,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/api-documentation,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/api/api-security-best-practices,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/api-security-best-practices,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/api/api-testing-observability-api-mock,Approved and supported,quality-and-security,testing,task-folder/agents/skills/quality-and-security/testing/api-testing-observability-api-mock,child_skill,high,Primary outcome is automated unit/integration/E2E test engineering and QA validation.,None,none
task-folder/agents/skills/api/api-patterns,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/api-patterns,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/api/api-documentation-generator,Ambiguous and requiring manual review,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/api-documentation-generator,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/api/api-onboarding,Approved and supported,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/api-onboarding,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/api/api-endpoint-builder,Ambiguous and requiring manual review,content-and-documentation,technical-writing,task-folder/agents/skills/content-and-documentation/technical-writing/api-endpoint-builder,child_skill,high,"Primary outcome is technical documentation, API specifications, and architectural documentation.",None,none
task-folder/agents/skills/api/app-builder,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/app-builder,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/api/app-builder/templates,Ambiguous and requiring manual review,development,backend,task-folder/agents/skills/development/backend/templates,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/papers-skill,Supported after conversion,development,backend,task-folder/agents/skills/development/backend/papers-skill,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/wgm,Approved and supported,development,backend,task-folder/agents/skills/development/backend/wgm,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/framework-migration-legacy-modernize,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/framework-migration-legacy-modernize,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/rich-elicitation,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/rich-elicitation,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/threejs-fundamentals,Ambiguous and requiring manual review,design-and-experience,motion-and-graphics,task-folder/agents/skills/design-and-experience/motion-and-graphics/threejs-fundamentals,child_skill,high,"Primary outcome is visual motion, 3D rendering, canvas animations, and interactive graphics.",None,none
task-folder/agents/skills/nextjs/nextjs-best-practices,Ambiguous and requiring manual review,development,frontend,task-folder/agents/skills/development/frontend/nextjs-best-practices,child_skill,high,"Primary outcome is frontend client-side engineering, web components, and UI state architecture.",None,none
task-folder/agents/skills/nextjs/nextjs-supabase-auth,Ambiguous and requiring manual review,development,frontend,task-folder/agents/skills/development/frontend/nextjs-supabase-auth,child_skill,high,"Primary outcome is frontend client-side engineering, web components, and UI state architecture.",None,none
task-folder/agents/skills/nextjs/nestjs-expert,Ambiguous and requiring manual review,quality-and-security,security,task-folder/agents/skills/quality-and-security/security/nestjs-expert,child_skill,high,"Primary outcome is vulnerability assessment, security scanning, and penetration testing.",None,none
task-folder/agents/skills/nextjs/nextjs-app-router-patterns,Approved and supported,development,frontend,task-folder/agents/skills/development/frontend/nextjs-app-router-patterns,child_skill,high,"Primary outcome is frontend client-side engineering, web components, and UI state architecture.",None,none
task-folder/agents/skills/nextjs/next.js,Ambiguous and requiring manual review,development,frontend,task-folder/agents/skills/development/frontend/next-js,child_skill,high,"Primary outcome is frontend client-side engineering, web components, and UI state architecture.",None,none
task-folder/agents/skills/nextjs/nextjs-seo-indexing,Supported after conversion,marketing-and-seo,technical-seo,task-folder/agents/skills/marketing-and-seo/technical-seo/nextjs-seo-indexing,child_skill,high,"Primary outcome is technical search engine crawlability, indexing, schema, and page speed.",None,none
task-folder/agents/skills/marketing/customer-retention-engine,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/customer-retention-engine,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/marketing/competitor-profiling,Approved and supported,quality-and-security,debugging,task-folder/agents/skills/quality-and-security/debugging/competitor-profiling,child_skill,high,"Primary outcome is systematic error diagnosis, root cause investigation, and debugging.",None,none
task-folder/agents/skills/marketing/tiktok-ads-integration_02,Supported after conversion,development,backend,task-folder/agents/skills/development/backend/tiktok-ads-integration-02,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/marketing/marketing-psychology,Ambiguous and requiring manual review,data-and-ai,llm-and-rag,task-folder/agents/skills/data-and-ai/llm-and-rag/marketing-psychology,child_skill,high,"Primary outcome is LLM application development, RAG retrieval pipelines, and neural workflows.",None,none
task-folder/agents/skills/marketing/push-notifications_02,Supported after conversion,development,fullstack,task-folder/agents/skills/development/fullstack/push-notifications-02,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/seo-plan,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/seo-plan,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/launch-plan,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/launch-plan,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/validate-output,Approved and supported,quality-and-security,compliance,task-folder/agents/skills/quality-and-security/compliance/validate-output,child_skill,high,"Primary outcome is regulatory compliance, privacy verification, and security standard adherence.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/competitor-monitor,Approved and supported,infrastructure-and-ops,observability,task-folder/agents/skills/infrastructure-and-ops/observability/competitor-monitor,child_skill,high,"Primary outcome is system telemetry, infrastructure monitoring, and uptime observability.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/programmatic-seo,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/programmatic-seo,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/pricing-test,Approved and supported,business-and-operations,startup-finance,task-folder/agents/skills/business-and-operations/startup-finance/pricing-test,child_skill,high,"Primary outcome is startup financial projections, pricing strategies, and business case modeling.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/journey-design,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/journey-design,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/client-report,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/client-report,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/data-export,Approved and supported,development,backend,task-folder/agents/skills/development/backend/data-export,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/launch-ad-campaign,Approved and supported,development,backend,task-folder/agents/skills/development/backend/launch-ad-campaign,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/sop-library,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/sop-library,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/data-import,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/data-import,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/continuous-improvement-loop,Ambiguous and requiring manual review,development,fullstack,task-folder/agents/skills/development/fullstack/continuous-improvement-loop,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/landing-page-audit,Approved and supported,development,backend,task-folder/agents/skills/development/backend/landing-page-audit,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/retargeting-strategy,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/retargeting-strategy,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/send-report,Approved and supported,development,backend,task-folder/agents/skills/development/backend/send-report,child_skill,high,"Primary outcome is backend server development, API design, and database schema implementation.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/learn,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/marketing-learn,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/aeo-geo,Approved and supported,marketing-and-seo,geo-and-local-seo,task-folder/agents/skills/marketing-and-seo/geo-and-local-seo/aeo-geo,child_skill,high,Primary outcome is localized and geographic search ranking optimization.,None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/ab-test-plan,Approved and supported,marketing-and-seo,cro,task-folder/agents/skills/marketing-and-seo/cro/ab-test-plan,child_skill,high,"Primary outcome is conversion rate optimization, funnel improvement, and user action triggers.",None,merge_candidate
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/schedule-social,Approved and supported,marketing-and-seo,content-and-campaigns,task-folder/agents/skills/marketing-and-seo/content-and-campaigns/schedule-social,child_skill,high,"Primary outcome is marketing campaigns, digital advertising creatives, and social distribution.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/digital-pr,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/digital-pr,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/seo-audit,Approved and supported,marketing-and-seo,on-page-seo,task-folder/agents/skills/marketing-and-seo/on-page-seo/seo-audit,child_skill,high,"Primary outcome is on-page search visibility, keyword targeting, and SERP content optimization.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/region-config,Approved and supported,quality-and-security,compliance,task-folder/agents/skills/quality-and-security/compliance/region-config,child_skill,high,"Primary outcome is regulatory compliance, privacy verification, and security standard adherence.",None,none
task-folder/agents/skills/marketing/digital-marketing-pro-main/skills/crisis-response,Approved and supported,development,fullstack,task-folder/agents/skills/development/fullstack/crisis-response,child_skill,medium,"Primary outcome is full-stack application development, feature implementation, and code creation.",Broad feature scope spanning client and server development.,none
